"Area","Reported_VAWG_Incidents","Police_Patrols","Community_Programs","Unemployment_Rate","Population_Density"
"Area 1",164,44,9,7.38726026844233,2394
"Area 2",158,48,8,14.6235893643461,2385
"Area 3",161,66,9,11.0136572597548,2166
"Area 4",162,51,10,10.1502972724847,1496
"Area 5",138,51,15,9.02573342202231,1940
"Area 6",175,67,10,13.8024654123001,1860
"Area 7",154,55,13,8.64091864787042,2281
"Area 8",149,37,12,7.88239280693233,1814
"Area 9",125,43,10,6.70645235106349,2488
"Area 10",186,46,5,6.72171746380627,1813
"Area 11",161,62,8,9.8204260552302,2526
"Area 12",161,54,9,7.52964928513393,1475
"Area 13",154,54,10,7.1625478961505,1370
"Area 14",167,51,14,11.7437638808042,3621
"Area 15",141,44,17,5.47663627425209,1792
"Area 16",154,68,15,12.0085308747366,2149
"Area 17",159,55,10,8.51888638455421,2318
"Area 18",158,30,5,9.08943997928873,1758
"Area 19",180,57,9,13.2095132395625,2258
"Area 20",168,45,10,14.188573481515,2184
"Area 21",172,39,13,7.82528330106288,1892
"Area 22",151,48,13,14.6110479370691,2033
"Area 23",158,40,12,12.2839442826807,1983
"Area 24",182,43,6,11.8637508200482,3064
"Area 25",146,44,13,5.52843942772597,1629
"Area 26",153,33,9,8.95220134640113,1452
"Area 27",147,58,11,9.77845379849896,2019
"Area 28",163,52,10,10.6025326368399,2155
"Area 29",164,39,11,11.9826159486547,2218
"Area 30",155,63,10,14.1568353842013,1771
"Area 31",174,54,5,11.1835122737102,1468
"Area 32",156,47,12,9.28421508753672,2632
"Area 33",161,59,11,10.4208036721684,1825
"Area 34",138,59,9,5.58478488586843,1567
"Area 35",158,58,10,7.60856857057661,1882
"Area 36",171,57,10,8.97151953307912,1901
"Area 37",153,56,11,6.97744736680761,2555
"Area 38",149,49,15,13.3192756283097,2042
"Area 39",147,47,9,6.52887222822756,2377
"Area 40",171,46,11,13.0341854202561,1750
"Area 41",147,43,14,10.4682615655474,2107
"Area 42",137,48,13,11.6231764201075,1838
"Area 43",153,37,13,6.71698493883014,2047
"Area 44",160,72,8,11.3305535982363,1552
"Area 45",137,62,16,8.11869746772572,1345
"Area 46",182,39,10,12.2455434640869,2999
"Area 47",137,46,16,8.98939824663103,2300
"Area 48",191,45,6,14.6935641113669,1374
"Area 49",161,58,10,14.6739837061614,1694
"Area 50",155,49,14,12.2670253901742,1407
"Area 51",156,53,8,7.57216746453196,3099
"Area 52",144,50,8,7.21787934657186,2656
"Area 53",162,50,7,10.9304565167986,1867
"Area 54",159,64,7,7.67521432135254,2272
"Area 55",170,48,9,10.3107039886527,1793
"Area 56",150,65,11,12.8529167128727,1762
"Area 57",159,35,4,6.68060810538009,1606
"Area 58",163,56,11,9.04399181017652,1703
"Area 59",146,51,14,9.71576277632266,2825
"Area 60",161,52,16,13.6810680688359,1973
"Area 61",170,54,14,14.257079558447,2060
"Area 62",170,45,12,13.8197755930014,2122
"Area 63",182,47,5,11.7418684251606,2616
"Area 64",176,40,8,14.5016697933897,1742
"Area 65",158,39,9,10.1644489425234,1504
"Area 66",132,53,12,10.7651902129874,2838
"Area 67",154,54,10,8.36331205908209,1779
"Area 68",168,51,6,8.4732463140972,1638
"Area 69",141,59,15,5.20024300552905,1382
"Area 70",149,71,13,10.0281304563396,1358
"Area 71",187,45,11,13.7104341364466,1713
"Area 72",140,27,14,5.06300783948973,2309
"Area 73",156,60,6,5.72057123994455,2555
"Area 74",159,43,12,6.64211224997416,2354
"Area 75",165,43,8,12.7033407427371,1818
"Area 76",159,60,12,12.3518430581316,2030
"Area 77",198,47,10,14.7187563567422,1648
"Area 78",155,38,12,9.66472376836464,1641
"Area 79",156,52,14,5.74384513311088,2442
"Area 80",150,49,10,11.488181243185,1492
"Area 81",160,50,13,12.5859316950664,2978
"Area 82",161,54,6,6.37106081005186,1955
"Area 83",164,46,8,8.96584594622254,2107
"Area 84",132,56,15,7.24985329201445,1631
"Area 85",145,48,11,5.57958560530096,1713
"Area 86",158,53,4,8.95892688306049,1341
"Area 87",162,61,6,5.64928299980238,1909
"Area 88",165,54,9,7.25886432919651,2209
"Area 89",118,47,13,5.5462910910137,2162
"Area 90",177,61,10,11.7028203955851,1609
"Area 91",138,60,12,7.97741782618687,1606
"Area 92",147,55,13,6.00721582304686,1749
"Area 93",144,52,15,5.71904097218066,2748
"Area 94",169,44,10,13.8044056878425,1431
"Area 95",161,64,10,12.5424740207382,1910
"Area 96",181,44,5,13.166058876086,2951
"Area 97",179,72,10,14.8214037367143,1950
"Area 98",161,65,8,6.03599644964561,1320
"Area 99",133,48,7,5.99041829351336,1668
"Area 100",155,40,9,12.9883161117323,2243
